objectid,zip_code,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
1,19102,108,2017,2025,2846994.94,362595.3,102741.76,48948.63,3361280.63,31122.97
2,19103,458,1982,2025,4191707.74,575832.14,82878.39,94719.95,4945138.22,10797.25
3,19104,2406,1978,2025,13413380,2505377.83,363093.26,1429629.45,17711480.54,7361.38
4,19105,1,2018,2018,0,22046.8,0,0,22046.8,22046.8
5,19106,437,1978,2025,4096024.95,558555.3,87695.22,178670.53,4920946,11260.75
6,19107,334,1978,2025,6306125.12,769389.96,230346.49,138797.93,7444659.5,22289.4
7,19111,1211,1988,2025,4808239.1,707127.83,99429.78,429163.1,6043959.81,4990.88
8,19112,9,2011,2025,414023.02,60915.59,13817.46,6910.06,495666.13,55074.01
9,19114,585,1986,2025,2740389.66,518218.22,71635.29,228686.64,3558929.81,6083.64
10,19115,593,1978,2025,2712018.8,408782.69,39978.67,166682.87,3327463.03,5611.24
11,19116,527,1979,2025,3075871.96,429496.39,65015.69,204259.43,3774643.47,7162.51
12,19118,278,2008,2025,3905421.51,476705.17,81922.17,65188.62,4529237.47,16292.22
13,19119,1270,1978,2025,7729086,1180864.25,160404.79,662079.33,9732434.37,7663.33
14,19120,2637,1978,2025,8749348.65,1898180.39,269281.75,1336420.31,12253231.1,4646.66
15,19121,3561,1978,2025,14020587.29,3236734.58,442527.68,2391068.7,20090918.83,5641.93
16,19122,1688,1978,2025,8652620.56,1534556.21,237195.8,1101166.27,11528836.87,6829.88
17,19123,837,1978,2025,9051252.09,1198192.23,224405.42,409568.26,10883418,13002.89
18,19124,3040,1978,2025,10825735.76,2888096.18,348847.6,1904445.85,15967125.39,5252.34
19,19125,1751,1978,2025,8518354.68,1173337.57,201968.16,691791.05,10585907.67,6045.64
20,19126,774,1979,2025,3829252.17,734797.97,79619.05,422761.9,5066431.09,6545.78
21,19127,266,1978,2025,1725044.55,419563.8,40405.64,191500.51,2376514.5,8934.27
22,19128,832,1978,2025,5138889.58,918640.53,103107.06,455734.25,6616371.42,7952.37
23,19129,454,1978,2025,2814304.69,674483.72,76321.82,379538.99,3944649.22,8688.65
24,19130,723,1978,2025,6418601.54,817766.49,128582.67,288306.23,7653256.93,10585.42
25,19131,3296,1978,2025,11636262.24,3270452.07,362894.03,2123143.67,17392752.01,5276.93
26,19132,6878,1978,2025,19340067.44,9660690.76,836566.99,6564139.4,36401477.35,5292.45
27,19133,4324,1978,2025,10205281.17,3476229.21,399645.32,3292762.1,17373917.8,4018.02
28,19134,5260,1978,2025,15156142.34,4069039.84,509093.2,3237143.95,22979983.35,4368.82
29,19135,996,1990,2025,3501423.97,606899.24,91569.32,415935.85,4615828.38,4634.37
30,19136,728,1989,2025,3026098.66,537563.79,77817.76,304655.18,3946239.69,5420.66
31,19137,512,1989,2025,2930538.12,547401.16,67173.01,329164.2,3874276.49,7566.95
32,19138,2711,1978,2025,11572468.33,3116641.8,332482.86,1921748.04,16943341.03,6249.85
33,19139,4034,1978,2025,14155781.5,3952124.1,487208.34,2792650.99,21387764.93,5301.88
34,19140,6652,1977,2025,20055414.06,7579072.29,818044.71,5156336.34,33608867.4,5052.45
35,19141,2332,1978,2025,8862844.08,2253771.79,263699.84,1537071.93,12917387.64,5539.19
36,19142,2346,1978,2025,6629098.68,2476367.65,281882.6,1769936.15,11157334.04,4755.9
37,19143,5860,1978,2025,21603284.93,5202991.69,642365.02,3688927.28,31138077.15,5313.67
38,19144,2814,1978,2025,12714612.18,3867649.38,401603.13,2306481.5,19291060.2,6855.39
39,19145,2069,1978,2025,9281698.97,1279215.41,240386.9,903224.13,11704525.41,5657.09
40,19146,2564,1978,2025,14770063.66,2051983.49,386048.68,1209003.3,18417177.23,7182.99
41,19147,1205,1978,2025,9478217.74,1252891.94,195394.49,453662.84,11380167.01,9444.12
42,19148,1886,1982,2025,9440479.18,1340167.23,212235.98,770570.85,11763453.24,6237.25
43,19149,964,1988,2025,3261500.78,498041.98,76821.67,322498.43,4158862.86,4314.17
44,19150,1383,1978,2025,6259720.4,666686.75,111426.69,535667.36,7573501.2,5476.14
45,19151,1590,1982,2025,6862513.87,1304858.61,184813.1,966159.92,9318345.5,5860.59
46,19152,558,1997,2025,2941616.09,348711.65,44292.43,204778.63,3543195.06,6349.81
47,19153,473,1978,2025,2106013.44,325644.07,51737.35,242513.78,2725908.64,5763.02
48,19154,590,1978,2025,4066619.21,661972.53,82735.36,255257.77,5066584.87,8587.43
49,Other/Unidentified,84,1978,2025,252535.88,277510.22,19273.82,89768.61,639088.53,7608.2
